book,composer,piece,genre,page,quote,spotifyId
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Liszt,Le mal du pays,Classical,55-56,"""Franz Liszt's 'Le mal du pays.' It's from his Years of Pilgrimage suite 'Year 1: Switzerland.'"" 
""'Le mal du...'?"" 
""'Le mal du pays.' It's French. Usually it's translated as 'homesickness,' or 'melancholy.' If you put a finer point on it, it's more like 'a groundless sadness called forth in a person's heart by a pastoral landscape.' It's a hard expression to translate accurately.""
""A girl I know used to play that piece a lot. A classmate of mine in high school."" 
""I've always liked this piece. It's not very well known, though,"" Haida said. ""Was your friend a good pianist?""
""Hard to say. I don't know much about music. But every time I heard it I thought it was beautiful. How should I put it? It had a calm sadness, but wasn't sentimental.""
""Then she must have played it well,"" Haida said. ""The piece seems simple technically, but it's hard to get the expression right. Play it just as it's written on the score, and it winds up pretty boring. But go the opposite route and interpret it too intensely, and it sounds cheap. Just the way you use the pedal makes all the difference, and can change the entire character of the piece.""
""Who's the pianist here?""
""A Russian, Lazar Berman. When he plays Liszt it's like he's painting a delicately imagined landscape. Most people see Liszt's piano music as more superficial, and technical. Of course, he was some tricky pieces, but if you listen very carefully to his music you discover a depth to it that you don't notice at first. Most of the time it's hidden behind all the embellishments. This is particularly true of the Years of Pilgrimage suites. There aren't many living pianists who can play it accurately and with such beauty. Among more contemporary pianists, Berman gets it right, and with the older pianists I'd have to go with Claudio Arrau.""",49seS8lx8rIUhJMIDVPFah?si=4LQISoytQc6UY0idRfb7AQ
Colorless Tsukuru Tazaki and His Years of Pilgrimage,Franz Liszt,Le mal du pays,Classical,259,"""Eri stood up, went over to the small stereo set in the cabinet, selected a CD from the pile of discs, and inserted it into the player. ""Le mal du pays"" filtered out from the speakers, the simple opening melody, softly played with one hand. Eri sat back down across from him, and the two of them silently listened to the music.
Listening to the music here, next to a lake in Finland, it had a different sort of charm from when he heard it back in his apartment in Tokyo. But no matter where he listened to it, regardless of whether he heard it on a CD or an old LP, the music remained the same, utterly engaging and beautiful. Tsukuru pictured Yuzu at the piano in her parlor, playing the piece, leaning over the keyboard, eyes closed, lips slightly open, searching for words that don't make a sound. She was apart from herself then, in some other place.",49seS8lx8rIUhJMIDVPFah?si=4LQISoytQc6UY0idRfb7AQ
The Wind-Up Bird Chronicle,Rossini,The Thieving Magpie – Overture,Classical,5,"When the phone rang I was in the kitchen, boiling a potful of spaghetti and whistling along with an FM broadcast of the overture to Rossini's The Thieving Magpie, which has to be the perfect music for cooking pasta.
I wanted to ignore the phone, not only because the spaghetti was nearly done, but because Claudio Abbado was bringing the London Symphony to its musical climax.",5ZvSDLmpUwmRAr3up1Xu7F?si=OkPFsNnYR9WIJ3YtiKBODQ
The Wind-Up Bird Chronicle,Percy Faith,Tara's Theme,Pop,59,"After doing the breakfast dishes, I rode my bike to the cleaner's by the station. The owner–a thin man in his late forites, with deep wrinkles in his forehead–was listening to a tape of the Percy Faith orchestra on a boombox that had been set on a shelf. It was a large JVC, with some kind of extra woofers attached and a mound of cassette tapes standing by. The orchestra was performing ""Tara's Theme,"" making the most of its lush string section. ",5jMmEBpLBIUmnarGEiRi62?si=1-FuWd-lSquwun8p6RGL6Q
The Wind-Up Bird Chronicle,Schumann,Bird as Prophet,Classical,59,"When Tchaikovsky's Serenade for Strings ended, a little piano piece came on that sounded like something by Schumann. It was familiar, but I couldn't recall the title. When it was over, the female announcer said it had been the seventh of Schumann's Forest Scenes, titled ""Bird as Prophet."" I imagined Kumiko twisting her hips beneath the other man, raising her legs, planting her fingernails in his back, drooling on the sheets. The announcer explained that Schumann had created a scene of fantasy in which a mysterious bird lived in the forest, foretelling the future.",4r47laI3jh9df9zjKezxhD?si=s724O4ywQ-OKAC-u1Xz7vw
The Wind-Up Bird Chronicle,Andy Williams,Hawaiian Wedding Song,Pop,81,"The owner of the shop had his JVC boombox turned up loud, as he had on my last trip. This morning it was an Andy Williams tape. ""Hawaiian Wedding Song"" was ending just as I walked in, and ""Canadian Sunset"" started. Whistling happily to the tune, the owner was writing in a notebook with a ballpoint pen, his movements as energetic as before. In the pile of tapes on the shelf, I spotted such names as Sergio Mendes, Bert Kaempfert, and 101 Strings. So he was an easy-listening' freak. It suddenly occurred to me that true believers in hard-driving jazz — Albert Ayler, Don Cherry, Cecil Taylor — could never become owners of cleaning shops in malls across from railroad stations. Or maybe they could. They just wouldn't be happy cleaners.",https://open.spotify.com/track/6u8Nycj3p4GTB1mNXCVNUc?si=UQQAf9ziSPWkh_Whk9Tqyg
The Wind-Up Bird Chronicle,Andy Williams,Canadian Sunset,Pop,81,"The owner of the shop had his JVC boombox turned up loud, as he had on my last trip. This morning it was an Andy Williams tape. ""Hawaiian Wedding Song"" was ending just as I walked in, and ""Canadian Sunset"" started. Whistling happily to the tune, the owner was writing in a notebook with a ballpoint pen, his movements as energetic as before. In the pile of tapes on the shelf, I spotted such names as Sergio Mendes, Bert Kaempfert, and 101 Strings. So he was an easy-listening' freak. It suddenly occurred to me that true believers in hard-driving jazz — Albert Ayler, Don Cherry, Cecil Taylor — could never become owners of cleaning shops in malls across from railroad stations. Or maybe they could. They just wouldn't be happy cleaners.",https://open.spotify.com/track/4e0L2i1juS7lHfS8AaCr8s?si=bCQg_ddfRyOt2EvDPhbmag
The Wind-Up Bird Chronicle,Mozart,The Magic Flute,Classical,406,"It's kind of like The Magic Flute. You know: Mozart. Using a magic flute and magic bells, they have to save a princess who's being held captive in a faraway castle. I love that opera. I don't know how many times I've seen it. I know the lines by heart: 'I'm the birdcatcher, Papageno, known throughout the land.",https://open.spotify.com/track/2tiSSodBlpQDmK3L6NBWey?si=-dBjrkoyQkaldrIxPXnrDA
The Wind-Up Bird Chronicle,Bach,The Musical Offering,Classical,445,"I could feel a certain warmth in the mark on my cheek. It told me that I was drawing a little closer to the core of things. I closed my eyes. Still echoing in my ear were the strains of music that Cinnamon had been listening to repeatedly as he worked that morning. It was Bach's ""Musical Offering,"" still there in my head like the lingering murmur of a crowd in an auditorium. Eventually, though, silence descended and began to burrow its way into the folds of my brain, one after another, like an insect laying eggs. I opened my eyes, then closed them again. The darknesses inside and out began to blend, and I began to move outside of my self, the container that held me. 
As always.",https://open.spotify.com/track/6SrFHMmpKlDK6D8fLxyEp1?si=i6hcdmYjRXS6xkQSHKlAOw
Sputnik Sweetheart,Mozart,Das Veilchen,Classical,18,"According to her father, her mother had chosen the name Sumire. She loved the Mozart song of the same name and had decided long before that if she had a daughter that would be her name. On a shelf in their living room was a record of Mozart's songs, doubtless the one her mother had listened to, and when she was a child, Sumire would carefully lay this heavy LP on the turntable and listen to it over and over. Elisabeth Schwarzkopf was the soprano, Walter Gieseking on piano. Sumire didn't understand the lyrics, but from the graceful motif she felt sure the song was a paean to beautiful violets blooming in a field. Sumire loved that image.",https://open.spotify.com/track/4ktu3o2AAcizAZZeOR27dK?si=j5Q583GIS3uziivxEzN-Rw
Sputnik Sweetheart,Beethoven,Piano Sonata No. 23,Classical,20,"She and Miu shared similar musical tastes, it turned out. They both loved piano music and were convinced that Beethoven's Sonata No. 23 was the absolute pinnacle in the history of music. And that Wilhelm Backhaus's unparalleled performance of the sonata for Decca set the interpretive standard.","https://open.spotify.com/track/6LDUuXVwAwfEvaELbP5vju?si=i9oUX7FOSeGtL_DgrwQG3g,https://open.spotify.com/track/35NIlGO42Bz5ysJ5T3WoSW?si=v5xAvg9gRGyAA_QHZ_Sbsg,https://open.spotify.com/track/2on8F5GZiUkWo0vzWbVOrB?si=Pwv49TQOQt2jiDHoLmi-IQ"
Sputnik Sweetheart,Astrud Gilberto,Take Me to Aruanada,Pop,31,"I folded my hands behind my head and watched Sumire as she slowly yet eagerly devoured her cake. From the small speakers on the ceiling of the coffee shop, Astrud Gilberto sang an old bossa nova song. ""Take Me to Aruanda,"" she sang. I closed my eyes, and the clatter of cups and saucers sounded like the roar of a far-off sea. Aruanda – what's it like there? I wondered. ",https://open.spotify.com/track/4WORD4fYW6FAfYomxZynHP?si=vWBcpot3RcGnPvSR9IliqQ
Sputnik Sweetheart,Bobby Darin,Mack the Knife,Jazz,65,"""Whether you're a good-for-nothing lesbian doesn't matter. Imagine The Greatest Hits of Bobby Darin minus 'Mack the Knife.' That's what my life would be like without you.""",https://open.spotify.com/track/3E5ndyOfO6vFDEIE42HA8o?si=-TbxfJ_OT7WVdmPgnBDoZQ
